	10CA_S168pdamsymd.sam.counts	10CL_S148pdamsymd.sam.counts	10NA_S169pdamsymd.sam.counts	10NL_S149pdamsymd.sam.counts	1CA_S150pdamsymd.sam.counts	1NA_S151pdamsymd.sam.counts	1NL_S136pdamsymd.sam.counts	2CA_S152pdamsymd.sam.counts	2NA_S153pdamsymd.sam.counts	3CA_S154pdamsymd.sam.counts	3CL_S137pdamsymd.sam.counts	3NA_S155pdamsymd.sam.counts	3NL_S138pdamsymd.sam.counts	4CA_S156pdamsymd.sam.counts	4CL_S139pdamsymd.sam.counts	4NA_S157pdamsymd.sam.counts	5CA_S158pdamsymd.sam.counts	5CL_S140pdamsymd.sam.counts	5NA_S159pdamsymd.sam.counts	6CA_S160pdamsymd.sam.counts	6CL_S141pdamsymd.sam.counts	6NA_S161pdamsymd.sam.counts	6NL_S142pdamsymd.sam.counts	7CA_S162pdamsymd.sam.counts	7CL_S143pdamsymd.sam.counts	7NA_S163pdamsymd.sam.counts	8CA_S164pdamsymd.sam.counts	8CL_S144pdamsymd.sam.counts	8NA_S165pdamsymd.sam.counts	8NL_S145pdamsymd.sam.counts	9CA_S166pdamsymd.sam.counts	9CL_S146pdamsymd.sam.counts	9NA_S167pdamsymd.sam.counts	9NL_S147pdamsymd.sam.counts	
isogroup00000001	2	0	1	1	1	0	0	0	0	1	1	2	2	1	1	2	0	3	0	0	2	3	2	1	1	2	0	0	0	0	1	0	1	0	
isogroup00000002	7	0	4	0	4	6	1	10	2	1	1	4	0	4	0	2	5	0	4	5	0	3	0	0	0	0	5	1	1	2	1	0	10	0	
isogroup00000003	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup00000004	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
isogroup00000006	7	0	0	0	0	3	0	1	0	0	0	3	1	1	0	2	0	0	1	2	0	1	0	1	0	5	3	1	2	1	0	1	2	0	
isogroup00000007	5	2	1	1	2	0	0	3	2	4	1	5	1	2	0	0	0	3	2	2	3	2	2	2	0	1	4	0	3	2	2	0	3	1	
isogroup00000008	4	2	4	2	0	2	1	3	0	3	2	3	1	1	2	2	4	0	1	0	1	0	1	0	0	1	1	0	4	0	2	1	2	1	
isogroup00000009	0	0	0	1	1	0	2	2	0	1	2	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	3	2	
isogroup00000011	38	7	32	17	22	60	18	25	11	25	12	35	8	26	11	13	24	12	43	25	7	35	9	34	24	50	16	1	16	2	20	12	39	8	
isogroup00000012	0	0	1	0	0	0	1	0	0	0	0	1	0	1	2	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	1	0	
isogroup00000013	0	0	3	0	0	1	1	0	0	2	1	0	0	3	0	2	5	0	0	3	1	0	0	0	0	3	4	0	3	0	2	0	0	1	
isogroup00000014	19	10	13	9	11	19	8	12	3	9	7	10	6	14	17	13	11	12	15	15	8	9	11	12	10	24	18	11	18	12	11	8	13	11	
isogroup00000015	21	12	17	12	17	32	13	20	15	20	7	24	12	16	9	15	24	12	22	24	14	19	12	11	7	16	20	7	16	8	18	9	32	9	
isogroup00000016	0	1	1	2	0	2	1	2	0	0	0	0	0	1	1	0	1	0	1	1	2	1	1	1	2	1	1	1	1	0	0	0	0	0	
isogroup00000017	0	2	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	4	0	2	1	3	2	0	2	2	1	1	2	1	4	
isogroup00000018	17	3	16	5	11	23	0	12	5	11	3	8	2	7	0	16	5	9	11	15	6	10	3	8	3	16	9	3	20	1	10	2	7	2	
isogroup00000019	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
isogroup00000020	23	89	25	94	19	14	58	18	10	15	85	13	116	15	110	31	23	115	16	21	104	21	121	16	85	31	33	70	22	72	16	73	16	59	
isogroup00000021	22	9	38	14	40	24	7	32	19	24	12	21	13	14	3	36	22	7	23	26	12	19	14	17	9	43	23	12	19	10	25	4	27	12	
